,Case Number,Date,Type,Country,Area,Activity,Injury,Fatal (Y/N)
4895,1927.05.29,29-May-27,Sea Disaster,PHILIPPINES,Luzon Island,Sea disaster," 55  perished, some were  taken by sharks",Y
4896,1927.05.09.R,Reported 09-May 1927,Unprovoked,AUSTRALIA,Queensland,Walking,FATAL,Y
4897,1927.04.10,20-Apr-27,Unprovoked,AUSTRALIA,Torres Strait,Diving,Extensive injuries to left leg,N
4898,1927.04.08,08-Apr-27,Unprovoked,AUSTRALIA,Queensland,Pearl diving,Leg injured,N
4899,1927.03.01,11-Mar-27,Unprovoked,AUSTRALIA,New South Wales,Body surfing / treading water,"Right buttock & thigh bitten, thumb removed",N
4900,1927.02.14,14-Feb-27,Provoked,NICARAGUA,Salinas Bay,Feeling the sharks teeth,"Sharkss jaws snapped shut, lacerating his right hand PROVOKED INCIDENT",N
4901,1927.02.09,09-Feb-27,Unprovoked,AUSTRALIA,Queensland,Attempting to rescue drowning man,"No injury, but trouser leg shredded by shark",N
4902,1927.02.00,Feb-27,Provoked,NEW ZEALAND,South Island,Fishing,Severely bitten by shark caught 30 minutes earlier  PROVOKED INCIDENT,N
4903,1927.01.20,20-Jan-27,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body surfing,Both thighs  lacerated,N
4904,1927.01.08.R,Reported 08-Jan-1927,Unprovoked,USA,California,Swimming,Lost hand,N
4905,1927.01.03,03-Jan-27,Unprovoked,AUSTRALIA,New South Wales,Swimming,"FATAL, leg bitten from thigh to ankle",Y
4906,1927.00.00.b,1927,Unprovoked,AUSTRALIA,New South Wales,Swimming,"FATAL, shoulder bitten ",Y
4907,1927.00.00.a,1927,Unprovoked,AUSTRALIA,Torres Strait,Pearl diving,Shoulder bitten,N
4908,1926.12.02.R,Reported 02-Dec-1926,Unprovoked,AUSTRALIA,Torres Strait,Diving for trochus,FATAL,Y
4909,1926.11.17,17-Nov-26,Unprovoked,AUSTRALIA,Torres Strait,Diving,Arm injured,N
4910,1926.10.29.R,Reported 29-Oct-1926,Unprovoked,PAPUA NEW GUINEA,Central Province,Jumped into the water,"FATAL, abdomen bitten",Y
4911,1926.10.23.b,23-Oct-26,Unprovoked,AUSTRALIA,New South Wales,Bathing,"3"" laceration to leg",N
4912,1926.10.23.a,23-Oct-26,Sea Disaster,BERMUDA,,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,"Of 104 people in the water, only 20 survived. 84 people were lost, many to sharks. Sharks 2 pulled crew off life rafts",N
4913,1926.09.06.R,Reported 06-Sep-1926,Unprovoked,PAPUA NEW GUINEA,,Jumped out of canoe,FATAL,Y
4914,1926.08.24,24-Aug-26,Unprovoked,USA,New Jersey,Swimming,FATAL,Y
4915,1926.07.23,23-Jul-26,Unprovoked,ITALY,Golfo di Genova in the Ligurian Sea,Swimming,"FATAL, body was not recovered",Y
4916,1926.07.12,12-Jul-26,Boating,USA,New Jersey,Fishing,No injury to occupants,N
4917,1926.07.08,08-Jul-26,Unprovoked,USA,California,Swimming with dog near canning factory,Leg & hand lacerated and dog bitten,N
4918,1926.07.03,03-Jul-26,Invalid,SPAIN,Sants-Montjic,Bathing,No injury,N
4919,1926.05.18,18-May-26,Unprovoked,USA,Hawaii,Swimming,"FATAL, gave sudden shriek & disappeared, body found in shark caught off Kahuka",Y
4920,1926.04.22,22-Apr-26,Unprovoked,SOUTH ATLANTIC OCEAN,South of the Equator ,Fell overboard from SS Ripley Castle,When taken back on board 2 hours later both legs were bleeding from shark bites,N
4921,1926.04.07,07-Apr-26,Unprovoked,USA,Hawaii,Swimming,Right leg bitten thigh to heel,N
4922,1926.03.17,17-Mar-26,Unprovoked,AUSTRALIA,South Australia,Swimming ,FATAL,Y
4923,1926.01.26,26-Jan-26,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,Thigh lacerated,N
4924,1926.01.00,Jan-26,Unprovoked,AUSTRALIA,Victoria,,Leg lacerated,N
4925,1926.00.00.d,Summer of 1926,Unprovoked,MONACO,Bay of Monaco,,FATAL,Y
4926,1926.00.00.c,1926,Provoked,NEW ZEALAND,Cook Islands,Shark hoisted on board liner Tahiti,"Struck on head by sharks tail, knocked unconscious & deep gash in head PROVOKED INCIDENT",N
4927,1926.00.00.b,1926,Unprovoked,SINGAPORE,,Dived onto shark from floating stage,"FATAL, femoral artery severed ",Y
4928,1926.00.00.a,1926,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming to mail boat,No details,UNKNOWN
4929,1925.11.22,22-Nov-25,Unprovoked,AUSTRALIA,Western Australia,Floating on his back,"FATAL, thigh  & torso bitten, then shark charged rescue boat ",Y
4930,1925.11.00.b,Nov-25,Unprovoked,USA,Puerto Rico,,Laceration across abdomen,N
4931,1925.11.00.a,Nov-25,Unprovoked,USA,Puerto Rico,,Both calves lacerated,N
4932,1925.09.04,04-Sep-25,Provoked,SPAIN,Valencia ,Fishing,Right hand bitten by hooked shark PROVOKED INCIDENT,N
4933,1925.09.03,03-Sep-25,Unprovoked,ENGLAND,Isle of Wight,Fishing,No injury but shark lifted boat out of the water,N
4934,1925.08.02,02-Aug-25,Unprovoked,USA,South Carolina,Swimming,"Multiple lacerations on both thighs, right buttock and hip",N
4935,1925.06.15,15-Jun-25,Invalid,AUSTRALIA,Western Australia,,Human arm found in shark,UNKNOWN
4936,1925.05.00,May-25,Unprovoked,USA,Puerto Rico,,"Right arm nearly severed at shoulder, left wrist lacerated",N
4937,1925.03.27,07-Mar-1925 or 27-Mar-1925,Unprovoked,AUSTRALIA,New South Wales,Bathing in waist-deep water,"Left thigh bitten, leg surgically amputated ",N
4938,1925.03.12,12-Mar-25,Unprovoked,AUSTRALIA,New South Wales,Swimming,"FATAL, right forearm severed, lacerations from buttocks to heel L",Y
4939,1925.03.10,10-Mar-25,Unprovoked,PAPUA NEW GUINEA,Central Province,Swimming,FATAL,Y
4940,1925.01.27.R,Reported 27-Jan-1925,Unprovoked,USA,Florida,Swimming,Lacerations to arm,N
4941,1925.01.08,08-Jan-25,Unprovoked,CANADA,Vancouver,"Diving, repairing water main at depth of 90'","Injuries, if any, unknown, but afterwards diver stunned shark with iron bar",N
4942,1925.00.00,1925,Unprovoked,FIJI,Viti Levu Island,Diving for coins tossed from passenger ship,"Both arms bitten, surgically amputated",N
4943,1924.11.25,25-Nov-24,Unprovoked,MEXICO,Tamaulipas,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,FATAL,Y
4944,1924.11.24,24-Nov-24,Unprovoked,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean","Inebriated, woke from sleep and fell off deck into the water ",Knee bitten,N
4945,1924.11.21,21-Nov-24,Unprovoked,USA,Puerto Rico,Bathing,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y
4946,1924.10.31.R,Reported 31-Oct-1924,Provoked,FRENCH POLYNESIA,Tuamotus,Pearl diving,Abrasions PROVOKED ATTACK,N
4947,1924.10.18,18-Oct-24,Unprovoked,AUSTRALIA,Victoria,Bathing,Leg bitten,N
4948,1924.07.31,31-Jul-24,Unprovoked,USA,South Carolina,Standing,Left knee & leg bitten. (Tooth fragment recovered from kneecap),N
4949,1924.07.14,14-Jul-24,Provoked,ENGLAND,Dorset,Fishing for mackerel,Arms broken by hooked shark PROVOKED INCIDENT,N
4950,1924.07.04,04-Jul-24,Boating,USA,California,Fishing,"No injury, shark tore hole in the side of the boat",N
4951,1924.06.18,18-Jun-24,Provoked,USA,Florida,Removing shark from a net,Netted shark made a5-inch incision above the knee PROVOKED INCIDENT,N
4952,1924.04.25,25-Apr-24,Unprovoked,AUSTRALIA,New South Wales,"Fishing, fell in water & swimming strongly to shore","FATAL, partial remains recovered ",Y
4953,1924.04.22,22-Apr-24,Unprovoked,PANAMA,150 miles offshore,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller","Reported to have had ""2 fights with sharks"" before being rescued by the British freighter Dorsetafter 23 hours in the water",N
4954,1924.04.20,20-Apr-24,Invalid,AUSTRALIA,Western Australia,Swimming ,Abrasions,N
4955,1924.03.28.R,Reported 28-Mar-1924,Unprovoked,SOLOMON ISLANDS,Central Province,Swimming,"Left arm severed, leg bitten",N
4956,1924.03.24,24-Mar-24,Boating,SPAIN,Galica,Fishing,"No injury to occupants, shark bit boat",N
4957,1924.02.13,13-Feb-24,Unprovoked,AUSTRALIA,New South Wales,Bathing in 5' of water,"Legs severely bitten, surgically amputated",N
4958,1924.02.08,08-Feb-24,Invalid,AUSTRALIA,Queensland,Bathing,Probable drowning & scavenging,UNKNOWN
4959,1924.01.29,29-Jan-24,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,FATAL,Y
4960,1924.01.25,25-Jan-24,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,Foot lacerated,N
4961,1924.01.19,09-Jan-24,Unprovoked,AUSTRALIA,New South Wales,Had just dived into water & was swimming,"FATAL, right thigh severely bitten, left arm lacerated ",Y
4962,1923.12.12,12-Dec-23,Unprovoked,AUSTRALIA,New South Wales,Swimming,Lacerations to leg,N
4963,1923.12.02,02-Dec-23,Unprovoked,AUSTRALIA,New South Wales,"Fishing, standing in waist-deep water","FATAL, disappeared, thought to have been taken by a shark ",Y
4964,1923.11.23,23-Nov-23,Unprovoked,AUSTRALIA,Western Australia,Dry shelling,"FATAL, disappeared, partial remains of Selim was found, there was no trace of Dea Opre",Y
4965,1923.11.02,02-Nov-23,Invalid,AUSTRALIA,New South Wales,Fishing,FATAL,Y
4966,1923.10.20,20-Oct-23,Invalid,AUSTRALIA,New South Wales,Sailing,"He failed to return, his body was recovered 11/9/1922; chest & abdomen had been bitten by shark/s",Y
4967,1923.10.17,17-Oct-23,Boating,AUSTRALIA,New South Wales,Fishing,"No injury to occupants, shark bit boat",N
4968,1923.10.16,16-Oct-23,Unprovoked,AUSTRALIA,Torres Strait,Pearl diving,"Arm severed, but survived",N
4969,1923.08.08,08-Aug-23,Unprovoked,GUYANA,Demerara County,Fishing,Puncture wounds to left leg,N
4970,1923.07.02.R,Reported 02-Jul-1923,Unprovoked,AUSTRALIA,Queensland,Diving for pearl,non-fatal,N
4971,1923.06.16,16-Jun-23,Boating,AUSTRALIA,New South Wales,"After rowing skiff was holed by shark, he was attempting to swim ashore","FATAL, taken by shark. Two other men drowned,  only 1 man survived",Y
4972,1923.06.06,06-Jun-23,Boating,MEXICO,Vera Cruz,Dismantling cable buoys of the cable ship All America,"No injury to occupants, shark rammed boat",N
4973,1923.05.23.R,Reported 23-May-1923,Unprovoked,AUSTRALIA,Western Australia,Wading,Minor puncture wounds to foot,N
4974,1923.05.22,22-May-23,Unprovoked,AUSTRALIA,Queensland,Diving?,FATAL,Y
4975,1923.03.18,18-Mar-23,Unprovoked,AUSTRALIA,Queensland,Diving,Lacerations to right thigh and knee,N
4976,1923.02.00,Feb-23,Unprovoked,USA,Puerto Rico,Swimming ,"Right calf, right side of abdomen & left wrist & hand bitten",N
4977,1923.01.27.b,27-Jan-23,Invalid,AUSTRALIA,Western Australia,,Death may have been due to drowning,UNKNOWN
4978,1923.01.27.a,27-Jan-23,Unprovoked,AUSTRALIA,Western Australia,Swimming,"FATAL, back of thigh bitten ",Y
4979,1923.01.13,14-Jan-23,Invalid,CUBA,Caribbean Sea,seaplane Columbus ditched in the sea,"Although this incident is listed elsewhere as a shark attack, the account of the disaster suggests the 4 who perished probably drowned. Five people survived",Y
4980,1923.00.00.c,1923,Boating,USA,New Jersey,Fishing,No injury to occupant Shark struck boat,N
4981,1923.00.00.b,1923-1924,Unprovoked,PHILIPPINES, Manila Bay,,"FATAL, abdomen severely bitten. Airplane summoned from Corregidor & injured man was lashed to wing, but he died  ",Y
4982,1923.00.00.a,1923,Provoked,USA,New Jersey,Hoisting shark aboard fishing boat,Shark's tail broke his leg. PROVOKED INCIDENT,N
4983,1923.00.00.a,1923,Provoked,USA,New Jersey,Hoisting shark aboard fishing boat,Shark's tail broke his leg. PROVOKED INCIDENT,N
4984,1922.12.14,14-Dec-22,Unprovoked,USA,Puerto Rico,Bathing,"FATAL, hip & thigh bitten with  tissue removed, including bone ",Y
4985,1922.12.05,05-Dec-22,Unprovoked,AUSTRALIA,Queensland,Bathing in 3' to 4' of water,"FATAL, severe injuries to torso  ",Y
4986,1922.09.29,29-Sep-22,Unprovoked,BARBADOS,Lucy,Fishing,FATAL,Y
4987,1922.10.29,29-Oct-22,Invalid,AUSTRALIA,New South Wales,Sailing,"FATAL, but shark involvement prior to death unconfirmed",UNKNOWN
4988,1922.09.28,28-Sep-22,Unprovoked,USA,Hawaii,"Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",Survived,N
4989,1922.09.26.R,Reported 26-Sep-1922,Unprovoked,ENGLAND,East Yorkshire,Swimming ,FATAL,Y
4990,1922.09.21.R,Reported 21-Sep-1922,Boating,USA,Massachusetts,Fishing,"No injury to occupants, shark splintered stern",N
4991,1922.07.19,19-Jul-22,Unprovoked,USA,Florida,,Leg bitten,N
4992,1922.06.17,17-Jun-22,Unprovoked,USA,Florida,Floating,"FATAL, thigh bitten",Y
4993,1922.05.24,24-May-22,Unprovoked,JAMAICA,Westmoreland Parish,Swimming,"FATAL, arm severed, thigh severely bitten  ",Y
4994,1922.05.06,06-May-22,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,Abdomen & thigh bitten,N
4995,1922.04.26,26-Apr-22,Unprovoked,AUSTRALIA,New South Wales,Swimming,FATAL,Y
4996,1922.03.20,20-Mar-22,Unprovoked,JAMAICA,Kingston Parish,Fishing,Survived,N
4997,1922.03.13,13-Mar-22,Unprovoked,JAMAICA,Kingston Parish,Standing,"FATAL, right leg severed at thigh ",Y
4998,1922.03.02,02-Mar-22,Unprovoked,AUSTRALIA,New South Wales,Bathing in knee-deep water,"FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene",Y
4999,1922.02.22.R,Reported 02-Feb-1922,Invalid,AUSTRALIA,New South Wales,Swimming,"Disappeared whiile swimming alone, body parts recovered, but shark involvement prior to death unconfirmed",Y
5000,1922.02.04,04-Feb-22,Unprovoked,AUSTRALIA,New South Wales,Swimming,"FATAL, both arms & shoulder bitten",Y
5001,1922.01.28.R,Reported 28-Jan-1922,Unprovoked,IRAQ,,Bathing,FATAL,Y
5002,1922.01.15,15-Jan-22,Unprovoked,AUSTRALIA,Queensland,Swimming ,FATAL,Y
5003,1922.01.13,13-Jan-22,Unprovoked,AUSTRALIA,New South Wales,Standing,Small laceration on left thigh & swim costume torn,N
5004,1922.01.04,04-Jan-22,Unprovoked,AUSTRALIA,New South Wales,Surfing,"FATAL, disappeared, then his shark-bitten remains washed ashore ",Y
5005,1921.12.11,11-Dec-21,Unprovoked,AUSTRALIA,Queensland,Swimming,Survived,N
5006,1921.11.27.b,27-Nov-21,Unprovoked,AUSTRALIA,Queensland,Fell from his father's back into the water,"FATAL, disappeared, body not recovered",Y
5007,1921.11.27.a,27-Nov-21,Unprovoked,AUSTRALIA,Queensland,"Wading to dinghy, carrying his son","Right hip, buttock, elbow, arm & wrist bitten",N
5008,1921.11.15.R,Reported 15-Nov-1921,Unprovoked,FIJI,Viti Levu Island,Swimming,FATAL,Y
5009,1921.10.12,12-Oct-21,Unprovoked,AUSTRALIA,Queensland,Diving for beche-de-mer ,Lacerations to right arm & chest,N
5010,1921.10.04,04-Oct-21,Unprovoked,AUSTRALIA,Queensland,Diving for beche-de-mer,"Left thigh bitten, FATAL",Y
5011,1921.09.00,Sep-21,Provoked,ENGLAND,Dorset,Fishing,Leg bitten by shark he was attempting to capture PROVOKED INCIDENT,N
5012,1921.08.29.R,Reported 29-Aug-1929,Unprovoked,AUSTRALIA,Torres Strait,,Lacerations to arm,N
5013,1921.08.28,28-Aug-21,Unprovoked,PHILIPPINES,Luzon Island,Swimming,"FATAL, abdomen  severely lacerated, taken by seaplane to hospital in Corrigedor but died  ",Y
5014,1921.01.11.R,Reported 11-Jan-1921,Invalid,PHILIPPINES,"Cavite Province, Luzon",,Buttons & shoes found in shark caught in fish trap,UNKNOWN
5015,1920.11.29,29-Nov-20,Unprovoked,AUSTRALIA,Western Australia,Wading,Lacerations to leg & hand,N
5016,1921.08.22,22-Aug-21,Unprovoked,HAITI,Cape Haitien,Dived into a school of baitfish,"FATAL, large wound on thigh",Y
5017,1920.11.22,22-Nov-20,Unprovoked,AUSTRALIA,Western Australia,Standing,"Minor injuries to leg, hand & fingers",N
5018,1920.11.04,04-Nov-20,Sea Disaster,PHILIPPINES,Leyte,The coastwise steamer San Basilio capsized in a typhoon,FATAL,Y
5019,1920.07.14,14-Jul-20,Invalid,USA,New York,Swimming ,Thought to have been taken by a shark. Body was not recovered,Y
5020,1920.07.05.R,Reported 06-Jul-1920,Unprovoked,AUSTRALIA,Torres Strait,Diving for trochus shell,Severe lacerations to right shoulder & arm,N
5021,1920.06.29,29-Jun-20,Unprovoked,USA,Florida,Swimming ,Knee & thigh bitten,N
5022,1920.06.27,27-Jun-20,Provoked,CANADA,Halifax,Harpooned shark,"No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT",N
5023,1920.03.08,08-Mar-20,Unprovoked,AUSTRALIA,Queensland,"Boat capsized, swimming to shore","Tossed in air by shark, sustained abrasions",N
5024,1920.01.24.R.b,Reported 24-Jan-1920,Unprovoked,AUSTRALIA,Torres Strait,Diving,Lacerations to foot,N
5025,1920.02.03,03-Feb-20,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Floating face down,Abdomen bitten,N
5026,1920.01.24.R.a,Reported 24-Jan-1920,Unprovoked,AUSTRALIA,Torres Strait,Free diving,FATAL,Y
5027,1920.01.15,15-Jan-20,Unprovoked,AUSTRALIA,New South Wales,Swimming ,Leg bitten. FATAL,Y
5028,1920.00.00.b,1920s,Unprovoked,JAMAICA,Westmoreland Parish,Jumped overboard,FATAL,Y
5029,1920.00.00.b,1920,Unprovoked,NEW ZEALAND,North Island,,"""Recovered""",N
5030,1920.00.00.a,1920,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Splashing,Thigh & buttocks bitten. Not known if he survived.,N
5031,1919.12.30.R,Reported 30-Dec-1919,Unprovoked,AUSTRALIA,Queensland,Swimming,Lacerations to left leg,N
5032,1919.12.07,07-Dec-19,Unprovoked,AUSTRALIA,New South Wales,Swimming,"FATAL, left leg & calf bitten, leg surgically amputated ",Y
5033,1919.11.18,18-Nov-19,Unprovoked,AUSTRALIA,Northern Territory,Sitting in a boat,Lacerations to buttocks,N
5034,1919.09.12,12-Sep-19,Unprovoked,COSTA RICA,Turtle Bogue,Small vessel with 13 men on board capsized crossing the bar and 6 men drowned.  The 7 survivors were swimming to shore,"FATAL, 6 men were taken by sharks as they neared the beach, 1 survived",Y
5035,1919.08.10,10-Aug-19,Unprovoked,USA,Florida,Swimming,Laceration to left thigh,N
5036,1919.05.29,29-May-19,Unprovoked,USA,South Carolina,"""Swimming vigorously""",Left foot bitten & abraded,N
5037,1919.04.06,06-Apr-19,Unprovoked,USA,Florida,Knocked into the water,FATAL,Y
5038,1919.03.16,16-Mar-19,Invalid,AUSTRALIA,New South Wales,Cutter capsized,Shark involvement not confirmed,UNKNOWN
5039,1919.01.17,17-Jan-19,Unprovoked,AUSTRALIA,New South Wales,Swimming,"Multiple injuries, left leg surgically amputated at knee",N
5040,1919.01.15,15-Jan-19,Unprovoked,NEW ZEALAND,South Island,Swimming,Leg bitten,N
5041,1919.01.09,09-Jan-19,Unprovoked,AUSTRALIA,New South Wales,Wading,"FATAL, right thigh bitten ",Y
5042,1919.01.05,05-Jan-19,Unprovoked,AUSTRALIA,Queensland,Wading (shrimping),"FATAL, thigh bitten, leg amputated ",Y
5043,1900.00.00.R,Reported to have taken place in 1919,Boating,ITALY,,Fishing,No injury,N
5044,1919.00.00,1919,Unprovoked,USA,Florida,Swimming,Leg severed,N
5045,1918.11.00.b,Nov-18,Unprovoked,USA,Hawaii,Fishing,FATAL,Y
5046,1918.11.00.a,Nov-18,Sea Disaster,SAN DOMINGO,60 miles north of San Domingo in the West Indies,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.,"FATAL, ""men snatched from rafts by sharks""   ",Y
5047,1918.09.19,19-Sep-18,Unprovoked,AUSTRALIA,Queensland,Bathing,FATAL,Y
5048,1918.03.22,22-Mar-18,Unprovoked,AUSTRALIA,New South Wales,Surfing,"Severe laceration to arm, necessitating surgical amputation at the elbow",N
5049,1918.00.00,1918,Unprovoked,AUSTRALIA,Queensland,Diving,Survived,N
5050,1917.12.15,15-Dec-17,Unprovoked,AUSTRALIA,Western Australia,Swimming,Lacerations to left leg,N
5051,1917.11.00,Nov-17,Unprovoked,MOZAMBIQUE,Maputo Province,Wreck of the tug Magellan,FATAL,Y
5052,1917.09.21,21-Sep-17,Unprovoked,USA,New Jersey,"Swimming, towing an empty barrel",Left knee lacerated,N
5053,1917.09.09,09-Sep-17,Provoked,USA,Hawaii,Stuffing a shark into an automobile,Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT,N
5054,1917.09.00,Sep-17,Unprovoked,PANAMA,Colon,Swimming to shore from the Medic,FATAL,Y
5055,1917.07.18,18-Jul-17,Unprovoked,USA,Florida,Diving,FATAL,Y
5056,1917.07.15,15-Jul-17,Sea Disaster,IRELAND,Off Ireland,Ship Mariston torpedoed & sunk,"FATAL, only 1 survivor",Y
5057,1917.06.03,03-Jun-17,Unprovoked,USA,South Carolina,Swimming beside launch,Right arm bitten,N
5058,1917.05.31,31-May-17,Unprovoked,PHILIPPINES,Luzon Island,Swimming,"FATAL, abdominal cavity removed ",Y
5059,1917.05.05,Reported 05-May-1917,Unprovoked,KUWAIT,,Diving for pearls,Torso bitten,N
5060,1917.00.00,1917,Unprovoked,LIBYA,Mediterranean Sea,Diving for sponges,"Bitten by shark, but  repelled it with his 'skandalopetra' ",N
5061,1916.12.30,30-Dec-16,Unprovoked,AUSTRALIA,Queensland,Bathing,Right calf bitten,N
5062,1916.12.08.b,08-Dec-16,Unprovoked,AUSTRALIA,New South Wales,Taking wife to beach & about 1 m from the shore,"FATAL, right arm severed, chest punctured ",Y
5063,1916.12.08.a,08-Dec-16,Unprovoked,AUSTRALIA,New South Wales,Swimming 10 m from shore,Leg nipped by shark,N
5064,1916.11.15,15-Nov-16,Provoked,PANAMA,,,"""Severely bitten""",N
5065,1916.11.10,10-Nov-16,Unprovoked,AUSTRALIA,Queensland,Swimming,FATAL,Y
5066,1916.11.09,09-Nov-16,Unprovoked,AUSTRALIA,Queensland,Bathing,FATAL,Y
5067,1916.10.11,11-Oct-16,Provoked,USA,Florida,"Fishing, attempted to take a netted shark","FATAL, leg severely bitten, surgically amputated PROVOKED INCIDENT",Y
5068,1916.08.24, 24-Aug-1916,Unprovoked,USA,Louisiana,Netting shrimp,Lower left leg severely bitten & became septic. Not known if he survived,N
5069,1916.07.26,26-Jul-16,Unprovoked,USA,North Carolina,Fishing,Arm severely lacerated,N
5070,1916.07.13.b,13-Jul-16,Invalid,USA,New York,Swimming,"No attack,  no injury",N
5071,1916.07.13,13-Jul-16,Unprovoked,USA,New York,Swimming,Ankle bruised,N
5072,1916.07.12.c,12-Jul-16,Unprovoked,USA,New Jersey,Swimming,"Lower left leg bitten, surgically amputated",N
5073,1916.07.12.b,12-Jul-16,Unprovoked,USA,New Jersey,Swimming (recovering remains of Stilwell) ,"FATAL, thigh bitten ",Y
5074,1916.07.12.a,12-Jul-16,Unprovoked,USA,New Jersey,Swimming,"FATAL, legs & torso bitten ",Y
5075,1916.07.11,11-Jul-16,Sea Disaster,BAHAMAS,,S.S. Ramos foundered in a hurricane. Captain & 14 crew in water-logged lifeboats. ,"FATAL.  When the survivors were rescued next day they were clubbing sharks with oars. ""Sharks were so thick that it was difficult to row""",Y
5076,1916.07.08,08-Jul-16,Unprovoked,SPAIN,Gran Canaria,Diving,Survived,N
5077,1916.07.07,07-Jul-16,Unprovoked,PHILIPPINES,Luzon Island,Bathing,Right foot severed,N
5078,1916.07.06,06-Jul-16,Unprovoked,USA,New Jersey,Swimming,FATAL,Y
5079,1916.07.01,01-Jul-16,Unprovoked,USA,New Jersey,Swimming,"FATAL, left leg bitten",Y
5080,1916.06.30,30-Jun-16,Unprovoked,USA,New Jersey,Swimming,Heel bitten,N
5081,1916.06.24.R,Reported 24-Jun-1916,Unprovoked,ATLANTIC OCEAN,,Jumped overboard from Norwegian steamship Venator,Presumed FATAL,Y
5082,1916.06.23,23-Jun-16,Provoked,USA,Florida,,Leg bitten by shark hooked shark PROVOKED INCIDENT,N
5083,1916.04.25.R,Reported 25-Apr-1916,Unprovoked,AUSTRALIA,New South Wales,Swimming,FATAL,Y
5084,1916.04.03,03-Apr-16,Unprovoked,AUSTRALIA,Victoria,Clinging to overturned rowing boat,FATAL,Y
5085,1916.03.19,19-Mar-16,Unprovoked,AUSTRALIA,New South Wales,Bathing,Minor lacerations to heel,N
5086,1915.12.09.R,Reported 09-Dec-1915,Unprovoked,AUSTRALIA,Torres Strait,Diving,"Arm severed, lacerations to thigh",N
5087,1915.11.10,10-Nov-15,Unprovoked,AUSTRALIA,Queensland,Bathing,Severe bite to arm,N
5088,1915.11.08,08-Nov-14,Unprovoked,AUSTRALIA,New South Wales,Bathing,Severe lacerations to feet & ankles,N
5089,1915.08.03,03-Aug-15,Unprovoked,USA,Florida,,Laceration to left leg,N
5090,1915.07.06.a.R,Reported 06-Jul-1915,Unprovoked,MEXICO,Tamaulipas,Fishing,FATAL,Y
5091,1915.07.06.a.R,Reported 06-Jul-1915,Unprovoked,MEXICO,,Wading,FATAL,Y
5092,1915.05.15.R,Reported 15-May-1915,Invalid,EGYPT,,Fell overboard,Shark involvement not confirmed,Y
5093,1915.03.29,29-Mar-15,Unprovoked,AUSTRALIA,Torres Strait,Skin diving for trepang but at surface next to the boat,"Shoulder bitten. Hana, one of the rescuers, fended shark off with an oar, then shark bit oar in two",N
5094,1915.02.06,06-Feb-15,Unprovoked,AUSTRALIA,Queensland,Swimming,Foot bitten,N
5095,1915.01.13,13-Jan-15,Invalid,NEW ZEALAND,North Island,Fishing,Death may have been due to drowning,Y
5096,1915.01.01,01-Jan-15,Unprovoked,AUSTRALIA,New South Wales,Bathing,FATAL,Y
5097,1915.00.00,Ca. 1915,Invalid,USA,Florida,,"Fatal, drowning or scavenging",UNKNOWN
5098,1914.12.04.R,Reported 04-Dec-1914,Unprovoked,AUSTRALIA,Queensland,Swimming,Lacerations to right thigh and knee,N
5099,1914.10.17,17-Oct-14,Sea Disaster,SAMOA,Apolima Strait,Copra vessel with 19 on board was wrecked in a squall,Thigh bitten,N
5100,1914.09.26.R,Reported 26-Sep-1914,Unprovoked,JAMAICA,Kingston Parish,Fell overboard,FATAL,Y
5101,1914.09.09,09-Sep-14,Unprovoked,USA,Louisiana,Swimming,FATAL,Y
5102,1914.07.15.R,Reported 15-Jul-1914,Unprovoked,CROATIA,Zadar County,Washing clothes,"No injury, shark grabbed clothes",N
5103,1914.07.09.R,Reported 09-Jul-1914,Provoked,USA,Louisiana,Fishing,PROVOKED INCIDENT    Legs severed by shark entangled in his net,N
5104,1914.07.07,07-Jul-14,Unprovoked,CROATIA, Primorje-Gorski Kotar County,,"No injury, shark nudged raft and circled for 2 hrs.",N
5105,1914.06.12,13-Jun-14,Boating,MONTENEGRO,Adriatic Sea,Fishing boat,"No injury, shark bit paddle and stern of boat",N
5106,1914.06.10,10-Jun-14,Unprovoked,AUSTRALIA,Victoria,Bathing,FATAL,Y
5107,1914.05.31,31-May-14,Sea Disaster,NEW CALEDONIA,South Province,Swimming ashore from swamped 13-ft boat,FATAL x 2,Y
